TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
EMB 135,KARISMA,CHARTER,RE01
G IV,JIP,CHARTER,RW01
A 320,BATIK AIR,Komersial,B7
G VI,PREMI,CHARTER,B4
B 733,TRIGANA,cargo,B12
B 733,AIRNESIA,cargo,B10
A 320,CITILINK,Komersial,B1
PH 300,PREMI,CHARTER,B3
G VI,AFM,CHARTER,B4
HK 800,JETSET,CHARTER,B5
A 320,BATIK AIR,Komersial,B2
G VI,PREMI,CHARTER,RW02
B 735,CITILINK,Komersial,B10
PH 300,PREMI,CHARTER,RW05
HK 800,JETSET,CHARTER,A1
G 500,KARISMA,CHARTER,B7
EMB 135,KARISMA,CHARTER,B4
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B8
G VI,AFM,CHARTER,RW07
A 320,BATIK AIR,Komersial,B9
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B5
G V,AFM,CHARTER,RW09
ATR 72,TAS,CHARTER,B3
EMB 135,KARISMA,CHARTER,RW10
EMB 135,KARISMA,CHARTER,B5
ATR 72,TRAVIRA,CHARTER,B12
B 733,TRI MG,cargo,B11
G VI,AFM,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
HK 800,JETSET,CHARTER,B3
C 212,TRANSWISATA,CHARTER,B6
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B7
ATR 72,CITILINK,Komersial,B2
B 733,JAYAWIJAYA,cargo,B11
B 733,TRIGANA,cargo,B12
C 208,SUSI AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A3
AVANTI,SUSI AIR,Komersial,B6
B 733,BLACKSTONE,CHARTER,B13
EMB 135,AFM,CHARTER,B7
PH 300,PREMI,CHARTER,A1
A 320,BATIK AIR,Komersial,A2
ATR 72,FLY JAYA,Komersial,B2
B 735,CITILINK,Komersial,B11
G V,KARISMA,CHARTER,B4
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
B 733,AIRNESIA,cargo,B13
B 733,TRIGANA,cargo,B10
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,B3
ATR 42,IAT,CHARTER,B5
GLEX,KARISMA,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
G V,KARISMA,CHARTER,RE03
PH 300,PURAWISATA,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B7
ATR 72,FLY JAYA,Komersial,B6
GLEX,KARISMA,CHARTER,RE07
EMB 135,IAT,CHARTER,B3
A 320,BATIK AIR,Komersial,B1
ATR 72,PELITA,Komersial,A2
B 733,TRI MG,cargo,B11
PH 300,PURAWISATA,CHARTER,A1
ATR 42,IAT,CHARTER,RW03
B 738,POLICE,CHARTER,B5
EMB 135,KARISMA,CHARTER,B4
ATR 72,TAS,CHARTER,B3
A 320,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B6
CL 850,JETSET,CHARTER,B3
A 320,BATIK AIR,Komersial,B8
A 320,CITILINK,Komersial,B1
ATR 72,CITILINK,Komersial,A2
CL 850,JETSET,CHARTER,RW05
ATR 72,PELITA,Komersial,RW08
B 733,JAYAWIJAYA,cargo,B12
A 320,BATIK AIR,Komersial,B9
EMB 135,IAT,CHARTER,RW09
CT 700,KARISMA,CHARTER,B5
B 735,CITILINK,Komersial,B13
B 734,B. B. N.,CHARTER,B10
ATR 72,TAS,CHARTER,RW10
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B4
A 320,CITILINK,Komersial,A3
G 7500,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B4
A 320,BATIK AIR,Komersial,B8
B 738,GARUDA,Komersial,B3
B 738,TNI AU,Militer,BASE OPS
G IV,JETSET,CHARTER,B5
G IV,JETSET,CHARTER,RW11
AVANTI,SUSI AIR,Komersial,B1
ATR 72,CITILINK,Komersial,B4
A 320,BATIK AIR,Komersial,A2
AVANTI,SUSI AIR,Komersial,A1
B 738,POLICE,CHARTER,B5
A 320,BATIK AIR,Komersial,B1
HK 850,KARISMA,CHARTER,B3
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
B 734,B. B. N.,CHARTER,B12
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
PH 300,PURAWISATA,CHARTER,B4
ATR 72,CITILINK,Komersial,B2
GLEX,AFM,CHARTER,B5
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B11
A 320,BATIK AIR,Komersial,A2
B 733,AIRNESIA,cargo,B10
BBJ 2,PTN,CHARTER,B6
B 733,TRIGANA,cargo,B13
ATR 72,FLY JAYA,Komersial,B1
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
ATR 72,CITILINK,Komersial,B3
G 500,JIP,CHARTER,B4
EMB 135,KARISMA,CHARTER,B8
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
B 733,JAYAWIJAYA,cargo,B10
B 735,CITILINK,Komersial,B11
G VI,KARISMA,CHARTER,B8
EMB 135,IAT,CHARTER,B9
EMB 135,KARISMA,CHARTER,RW06
EMB 135,PTN,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B1
A 320,BATIK AIR,Komersial,A3
HK 850,KARISMA,CHARTER,B9
G VI,KARISMA,CHARTER,RW04
KING AIR,KARISMA,CHARTER,B6
EMB 135,KARISMA,CHARTER,B8
C 208,SUSI AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B3
A 320,BATIK AIR,Komersial,B2
EMB 135,KARISMA,CHARTER,B4
A 320,CITILINK,Komersial,A3
ATR 72,CITILINK,Komersial,A2
A 320,CITILINK,Komersial,B8
HK 850,KARISMA,CHARTER,NSA14
CT 700,PTN,CHARTER,B5
A 320,BATIK AIR,Komersial,B6
B 733,TRI MG,cargo,B13
HK 800,JETSET,CHARTER,B5
EMB 135,KARISMA,CHARTER,RW09
A 320,BATIK AIR,Komersial,A3
KING AIR,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A2
HK 800,JETSET,CHARTER,NSA15
A 320,BATIK AIR,Komersial,A3
KING AIR,JIP,CHARTER,NSA16
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B6
ATR 72,CITILINK,Komersial,B1
EMB 135,KARISMA,CHARTER,B5
EMB 135,KARISMA,CHARTER,B3
A 320,BATIK AIR,Komersial,B8
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B9
B 738,GARUDA,Komersial,B5
EMB 135,KARISMA,CHARTER,RW01
BBJ,JIP,CHARTER,B4
EMB 135,KARISMA,CHARTER,RW06
B 733,BLACKSTONE,CHARTER,B12
B 733,AIRNESIA,cargo,B10
ATR 72,CITILINK,Komersial,A2
ATR 72,PELITA,Komersial,A2
EMB 135,IAT,CHARTER,B6
EMB 135,IAT,CHARTER,RW08
A 320,BATIK AIR,Komersial,A3
L 1000,PREMI,CHARTER,B3
BBJ,JIP,CHARTER,A1
G VI,PREMI,CHARTER,B12
G V,KARSIMA,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
G VI,KARISMA,CHARTER,B5
C 208,SUSI AIR,Komersial,A2
ATR 72,FLY JAYA,Komersial,B2
B 734,B. B. N.,CHARTER,B13
BELL 412,TRANSWISATA,CHARTER,B7
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
KING AIR,JIP,CHARTER,B6
A 320,BATIK AIR,Komersial,B3
ATR 72,CITILINK,Komersial,B2
ATR 42,IAT,CHARTER,B7
G IV,JETSET,CHARTER,B8
G V,PREMI,CHARTER,B5
G 500,JIP,CHARTER,B4
B 733,TRIGANA,cargo,B12
L 1000,PREMI,CHARTER,B9
A 320,BATIK AIR,Komersial,B1
PH 300,PURAWISATA,CHARTER,B3
AVANTI,SUSI AIR,Komersial,A2
B 733,TRIGANA,cargo,B10
HK 800,JETSET,CHARTER,B7
PH 300,PURAWISATA,CHARTER,NSA15
ATR 72,FLY JAYA,Komersial,A3
AVANTI,SUSI AIR,Komersial,NSA18
A 320,CITILINK,Komersial,B4
B 738,GARUDA,Komersial,B2
G IV,JIP,CHARTER,B3
G V,PREMI,CHARTER,A2
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B8
L 1000,PREMI,CHARTER,A2
B 733,AIRNESIA,cargo,B9
G IV,JIP,CHARTER,RW02
C 212,TRANSWISATA,CHARTER,A3
ATR 72,CITILINK,Komersial,B3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B6
ATR 72,PELITA,Komersial,B2
KING AIR,JIP,CHARTER,B4
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B8
PAC 750,PTN,CHARTER,RW03
ATR 72,FLY JAYA,Komersial,B5
G VI,PREMI,CHARTER,B11
G IV,JETSET,CHARTER,B3
PH 300,PREMI,CHARTER,A2
G IV,PTN,CHARTER,B1
A 320,BATIK AIR,Komersial,B4
A 320,CITILINK,Komersial,A3
G VI,BIOMANTARA,CHARTER,B7
G VI,PREMI,CHARTER,RE03
ATR 72,PELITA,Komersial,RW11
G IV,JETSET,CHARTER,RW04
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B6
ATR 72,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
B 735,CITILINK,Komersial,B12
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B2
LJ 55,BGS,CHARTER,B7
CT 700,PTN,CHARTER,B5
A 320,CITILINK,Komersial,B8
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B6
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B1
G 500,JIP,CHARTER,B5
ATR 72,TAS,CHARTER,B3
G 500,JIP,CHARTER,A0
G V,TRAVIRA,CHARTER,B10
G 7500,PREMI,CHARTER,B4
L 1000,PREMI,CHARTER,A2
L 1000,PREMI,CHARTER,B3
G IV,JETSET,CHARTER,B7
CL 850,JETSET,CHARTER,B11
A 320,BATIK AIR,Komersial,B9
G VI,PREMI,CHARTER,B2
EMB 135,IAT,CHARTER,A3
ATR 72,FLY JAYA,Komersial,B3
B 734,B. B. N.,CHARTER,B13
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
C 208,SUSI AIR,Komersial,A1
B 738,POLICE,CHARTER,B5
ATR 72,CITILINK,Komersial,B2
G V,PREMI,CHARTER,B6
PH 300,PREMI,CHARTER,A1
A 320,BATIK AIR,Komersial,A3
AS 355,GENESA,CHARTER,SA01
B 733,JAYAWIJAYA,cargo,B11
EMB 135,IAT,CHARTER,A2
A 320,BATIK AIR,Komersial,B8
B 733,TRIGANA,cargo,B10
B 733,TRIGANA,cargo,B9
ATR 42,IAT,CHARTER,B1
A 320,BATIK AIR,Komersial,A3
EMB 135,IAT,CHARTER,RW04
BBJ,JIP,CHARTER,A1
EMB 135,PTN,CHARTER,B7
ATR 72,FLY JAYA,Komersial,B2
EMB 135,PREMI,CHARTER,B4
ATR 42,IAT,CHARTER,RW05
B 733,TRI MG,cargo,B11
A 320,CITILINK,Komersial,A2
B 738,GARUDA,Komersial,B1
CL 850,JETSET,CHARTER,B5
G 7500,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
GLEX,PTN,CHARTER,B6
AS 350,GENESA,CHARTER,WR01
G V,TRAVIRA,CHARTER,B8
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,B2
CT 700,PTN,CHARTER,B5
EMB 135,PTN,CHARTER,RW08
B 733,AIRNESIA,cargo,B9
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
EMB 135,PREMI,CHARTER,A1
A 320,BATIK AIR,Komersial,B8
EMB 135,KARISMA,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B4
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B2
ATR 72,TAS,CHARTER,A2
G IV,JETSET,CHARTER,B7
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,A2
A 320,CITILINK,Komersial,B1
G IV,JETSET,CHARTER,RW03
B 733,JAYAWIJAYA,cargo,B10
A 320,BATIK AIR,Komersial,B7
B 735,CITILINK,Komersial,B13
PH 300,PREMI,CHARTER,NSA12
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B7
A 320,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B1
ATR 72,TAS,CHARTER,RW09
B 733,TRIGANA,cargo,B12
ATR 72,PELITA,Komersial,A2
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B2
EMB 135,KARISMA,CHARTER,B5
B 734,B. B. N.,CHARTER,B11
LJ 55,BGS,CHARTER,B6
EMB 135,KARISMA,CHARTER,RW10
LJ 55,BGS,CHARTER,NSA16
EMB 135,KARISMA,CHARTER,B4
B 733,TRI MG,cargo,B10
A 320,BATIK AIR,Komersial,A2
G VI,AFM,CHARTER,B3
GLEX,KARISMA,CHARTER,B5
CT 680,JIP,CHARTER,B2
ATR 72,FLY JAYA,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
EMB 135,IAT,CHARTER,B6
A 320,BATIK AIR,Komersial,B8
B 733,TRIGANA,cargo,B13
ATR 72,CITILINK,Komersial,B1
CT 680,JIP,CHARTER,NSA18
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A2
ATR 72,FLY JAYA,Komersial,A3
B 733,AIRNESIA,cargo,B13
LJ 55,AMM,CHARTER,B9
A 320,BATIK AIR,Komersial,B6
A 320,CITILINK,Komersial,B8
B 738,GARUDA,Komersial,B2
G V,AFM,CHARTER,B3
G VI,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,B6
B 735,CITILINK,Komersial,B12
G VI,PREMI,CHARTER,RE05
BELL 412,TRANSWISATA,CHARTER,B7
A 320,BATIK AIR,Komersial,A2
ATR 72,CITILINK,Komersial,A3
B 733,JAYAWIJAYA,cargo,B10
B 738,POLICE,CHARTER,B4
G IV,PTN,CHARTER,B5
G VI,AFM,CHARTER,B3
G V,AFM,CHARTER,RW04
EMB 135,IAT,CHARTER,B7
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B8
LJ 55,AMM,CHARTER,NSA17
C 208,SUSI AIR,Komersial,A3
EMB 135,IAT,CHARTER,RW06
B 733,TRIGANA,cargo,B13
G IV,PTN,CHARTER,RE06
G VI,KARISMA,CHARTER,B5
G V,AFM,CHARTER,B4
G VI,AFM,CHARTER,RE07
ATR 72,FLY JAYA,Komersial,B1
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,B7
A 320,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
CT 680,JIP,CHARTER,B6
A 320,CITILINK,Komersial,A2
HK 850,KARISMA,CHARTER,B5
ATR 72,CITILINK,Komersial,B1
GLEX,PTN,CHARTER,B3
G 500,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B9
ATR 72,PELITA,Komersial,A3
CL 850,JETSET,CHARTER,A2
GLEX,PTN,CHARTER,A1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B8
B 735,CITILINK,Komersial,B12
B 733,AIRNESIA,cargo,B13
CL 850,JETSET,CHARTER,A1
ATR 72,PELITA,Komersial,RW07
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B7
ATR 72,CITILINK,Komersial,A2
HK 850,KARISMA,CHARTER,B6
B 738,GARUDA,Komersial,B2
B 734,B. B. N.,CHARTER,B11
HK 850,KARISMA,CHARTER,NSA14
A 320,BATIK AIR,Komersial,A3
CT 680,JIP,CHARTER,B6
CT 680,JIP,CHARTER,NSA18
B 733,TRI MG,cargo,B13
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B12
G VI,PREMI,CHARTER,B3
ATR 72,FLY JAYA,Komersial,B2
G IV,KARISMA,CHARTER,B6
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B5
C 208,SUSI AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,B2
EMB 135,KARISMA,CHARTER,B4
B 733,JAYAWIJAYA,cargo,B10
ATR 72,PELITA,Komersial,B13
B 735,CITILINK,Komersial,B9
EMB 135,IAT,CHARTER,B6
RJ 85,SETNEG,CHARTER,A3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A2
ATR 72,PELITA,Komersial,RW07
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B12
A 320,CITILINK,Komersial,A3
BBJ,JIP,CHARTER,B4
B 738,GARUDA,Komersial,B1
A 320,BATIK AIR,Komersial,B7
RJ 85,SETNEG,CHARTER,RW01
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,B5
ATR 72,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B7
G VI,KARISMA,CHARTER,B5
G VI,PREMI,CHARTER,B2
G IV,JETSET,CHARTER,B4
CL 850,JETSET,CHARTER,B3
B 733,AIRNESIA,cargo,B13
G VI,KARISMA,CHARTER,A1
BELL 412EP,AIRFAST,CHARTER,SA01
G VI,PREMI,CHARTER,RE05
CT 650,ENGGANG,CHARTER,SA01
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
B 738,POLICE,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B2
EMB 135,KARISMA,CHARTER,B4
BBJ,JIP,CHARTER,B3
EMB 135,KARISMA,CHARTER,B7
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B6
B 738,GARUDA,Komersial,B4
ATR 72,CITILINK,Komersial,A2
A 320,CITILINK,Komersial,B2
G IV,JETSET,CHARTER,B7
A 320,BATIK AIR,Komersial,A3
EMB 135,KARISMA,CHARTER,RW03
A 320,BATIK AIR,Komersial,B1
G IV,JETSET,CHARTER,RW06
B 735,CITILINK,Komersial,B13
B 733,TRIGANA,cargo,B12
EMB 135,IAT,CHARTER,B8
EMB 135,IAT,CHARTER,RE01
HK 800,AFM,CHARTER,B7
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,B8
HK 800,AFM,CHARTER,NSA19
BBJ,JIP,CHARTER,B4
A 320,CITILINK,Komersial,B9
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B2
ATR 72,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B7
BBJ,JIP,CHARTER,A2
ATR 72,PELITA,Komersial,A3
RJ 85,SETNEG,CHARTER,B6
GLEX,PREMI,CHARTER,B3
G IV,JETSET,CHARTER,A2
B 733,TRI MG,cargo,B10
CT 700,KARISMA,CHARTER,B5
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
PH 300,PURAWISATA,CHARTER,B6
ATR 42,IAT,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,A2
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B9
G VI,PREMI,CHARTER,B3
G V,AFM,CHARTER,B7
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
ATR 72,FLY JAYA,Komersial,B2
B 733,JAYAWIJAYA,cargo,B12
BELL 407,AIR PASIFIC,CHARTER,B6
G VI,KARISMA,CHARTER,B3
B 738,GARUDA,Komersial,B1
A 320,CITILINK,Komersial,B7
B 733,TRIGANA,cargo,B13
B 735,CITILINK,Komersial,B10
A 320,BATIK AIR,Komersial,A3
CT 680,JIP,CHARTER,B5
EMB 135,KARISMA,CHARTER,B4
C 208,SUSI AIR,Komersial,A2
G IV,JETSET,CHARTER,B8
A 320,BATIK AIR,Komersial,B2
G VI,KARISMA,CHARTER,A1
B 733,AIRNESIA,cargo,B9
ATR 72,CITILINK,Komersial,A3
EMB 135,IAT,CHARTER,B7
G IV,JETSET,CHARTER,RW06
DASH 8,KARISMA,CHARTER,B8
G V,AFM,CHARTER,B3
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,B6
A 320,BATIK AIR,Komersial,B7
G VI,PREMI,CHARTER,B12
ATR 72,FLY JAYA,Komersial,A3
B 738,POLICE,CHARTER,B5
G V,AFM,CHARTER,RW04
G VI,KARISMA,CHARTER,B3
ATR 72,PELITA,Komersial,A2
A 320,BATIK AIR,Komersial,B6
A 320,CITILINK,Komersial,B1
B 733,TRI MG,cargo,B12
G VI,PREMI,CHARTER,RE05
A 320,BATIK AIR,Komersial,B8
DASH 8,KARISMA,CHARTER,A1
EMB 135,IAT,CHARTER,B5
CL 850,JETSET,CHARTER,B9
B 738,GARUDA,Komersial,B2
B 733,TRIGANA,cargo,B13
A 320,CITILINK,Komersial,B1
CL 850,JETSET,CHARTER,RE08
ATR 72,CITILINK,Komersial,A3
G IV,JETSET,CHARTER,B3
EMB 135,IAT,CHARTER,RW07
GLEX,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,B2
B 735,CITILINK,Komersial,B11
PH 300,PURAWISATA,CHARTER,B4
C 172,PREMI,CHARTER,NSA15
A 320,BATIK AIR,Komersial,B7
PH 300,PURAWISATA,CHARTER,A2
GLEX,KARISMA,CHARTER,RW01
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B3
ATR 42,IAT,CHARTER,B5
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B2
RJ 85,SETNEG,CHARTER,B5
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B9
ATR 42,IAT,CHARTER,RW02
ATR 72,PELITA,Komersial,B3
RJ 85,SETNEG,CHARTER,RW05
B 734,B. B. N.,CHARTER,B13
HK 800,AFM,CHARTER,B6
B 738,GARUDA,Komersial,B5
ATR 72,TAS,CHARTER,B4
G IV,JIP,CHARTER,A2
B 733,TRI MG,cargo,B12
PH 300,PURAWISATA,CHARTER,B4
A 320,BATIK AIR,Komersial,B2
B 733,TRIGANA,cargo,B12
ATR 72,FLY JAYA,Komersial,B2
GLEX,KARISMA,CHARTER,B5
DASH 8,KARISMA,CHARTER,B10
C 208,SUSI AIR,Komersial,A3
C 172,PREMI,CHARTER,B8
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
G 500,JIP,CHARTER,B3
AVANTI,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,B2
G VI,KARISMA,CHARTER,B4
CL 850,JETSET,CHARTER,B8
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A3
B 733,AIRNESIA,cargo,B11
ATR 72,FLY JAYA,Komersial,B2
B 735,CITILINK,Komersial,B12
B 733,TRIGANA,cargo,B10
A 320,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B1
B 733,JAYAWIJAYA,cargo,B9
A 320,BATIK AIR,Komersial,B3
PH 300,PURAWISATA,CHARTER,B4
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,A3
BBJ 2,PTN,CHARTER,BASE OPS
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,B1
KING AIR,TRAVIRA,CHARTER,B7
A 320,BATIK AIR,Komersial,B6
CT 700,KARISMA,CHARTER,B4
CT 680,JIP,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B1
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B8
B 733,TRI MG,cargo,B12
A 320,BATIK AIR,Komersial,A3
B 738,GARUDA,Komersial,B5
CT 680,JIP,CHARTER,NSA16
ATR 72,CITILINK,Komersial,B1
ATR 72,TAS,CHARTER,B2
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,B9
A 320,CITILINK,Komersial,B6
ATR 72,PELITA,Komersial,A3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B4
B 733,AIRNESIA,cargo,B11
G 7500,PREMI,CHARTER,B3
B 735,CITILINK,Komersial,B10
ATR 72,TAS,CHARTER,A1
A 320,CITILINK,Komersial,B7
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B6
B 734,B. B. N.,CHARTER,B11
