mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5019896984100342,0.038657088220364594,0.10335240364074708,0.01736281701790111,balanced,gini,,1,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.2996389891696751,0.29843561973525873,0.2710843373493976,0.3060240963855422,0.26987951807228916,0.2890125121424325,0.015353187829728807,20
1.1952195644378663,0.12149110271578473,0.13264780044555663,0.016119403605765397,balanced,gini,,1,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.27918170878459686,0.29843561973525873,0.27228915662650605,0.2987951807228916,0.26867469879518074,0.28347527293288677,0.012815088271741092,48
1.8477207660675048,0.10867107895405825,0.20450749397277831,0.047971880290799795,balanced,gini,,1,300,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.27918170878459686,0.2996389891696751,0.2710843373493976,0.30120481927710846,0.26867469879518074,0.2839569106751917,0.013895824078597477,46
0.7299406051635742,0.09195819608756706,0.10658140182495117,0.04218461933650335,balanced,gini,,2,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.2996389891696751,0.296028880866426,0.26626506024096386,0.3060240963855422,0.26626506024096386,0.2868444173807142,0.017105177017980682,40
1.436022663116455,0.44370627493218706,0.17863850593566893,0.029920216128088793,balanced,gini,,2,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.3020457280385078,0.2972322503008424,0.26987951807228916,0.3060240963855422,0.2674698795180723,0.2885302944630508,0.016467037520280906,27
2.2283039569854735,0.19770554728622927,0.24827065467834472,0.0897495563423342,balanced,gini,,2,300,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.2996389891696751,0.2972322503008424,0.26987951807228916,0.3060240963855422,0.27349397590361446,0.2892537659663927,0.014673005962716182,13
0.7751176357269287,0.25678022760486935,0.08674702644348145,0.02146208013059548,balanced,gini,,4,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",0.3020457280385078,0.29843561973525873,0.2674698795180723,0.3024096385542169,0.2746987951807229,0.28901193220535576,0.014880256592945356,22
1.2033735275268556,0.09658405829529977,0.17867937088012695,0.0599123387251171,balanced,gini,,4,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 200}",0.30445246690734057,0.29843561973525873,0.26867469879518074,0.3036144578313253,0.27710843373493976,0.29045713540080903,0.014732976823683231,5
1.7775543689727784,0.12285589430919515,0.1947464942932129,0.021867797515566563,balanced,gini,,4,300,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",0.30445246690734057,0.29843561973525873,0.26987951807228916,0.30481927710843376,0.27710843373493976,0.29093906311165235,0.01460316082342214,1
0.6586322784423828,0.07252349885832983,0.09039778709411621,0.011614776478265433,balanced,gini,15,1,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 100}",0.2996389891696751,0.29843561973525873,0.2710843373493976,0.3024096385542169,0.26506024096385544,0.2873257651544808,0.015887763441244387,36
1.249906873703003,0.0605267802776074,0.16456613540649415,0.019377878880653503,balanced,gini,15,1,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 200}",0.27918170878459686,0.29843561973525873,0.27228915662650605,0.3024096385542169,0.26385542168674697,0.2832343090774651,0.014903250075519504,54
1.9678845405578613,0.102996904330533,0.17976908683776854,0.015561362224826633,balanced,gini,15,1,300,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 300}",0.27918170878459686,0.29843561973525873,0.2710843373493976,0.30481927710843376,0.26385542168674697,0.28347527293288677,0.015724420697394995,48
0.6758360385894775,0.03497826123014115,0.09743099212646485,0.015663903918402642,balanced,gini,15,2,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 100}",0.29843561973525873,0.29482551143200963,0.26626506024096386,0.30481927710843376,0.26626506024096386,0.28612210575152597,0.01652610436027378,42
1.132457160949707,0.10539548609339518,0.1410999298095703,0.02450412565566895,balanced,gini,15,2,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.3020457280385078,0.296028880866426,0.26867469879518074,0.30481927710843376,0.2674698795180723,0.2878076928653241,0.016367050375913742,35
1.8234782695770264,0.18704876365375422,0.18686885833740235,0.015693464552597576,balanced,gini,15,2,300,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 300}",0.3020457280385078,0.2972322503008424,0.26987951807228916,0.3060240963855422,0.2710843373493976,0.2892531860293158,0.015582195636979808,17
