feature,importance
Stand Zone,0.3815992257939797
Operator Airline,0.2145464193617638
Aircraft Type,0.19035543301804161
Category,0.11169785561591192
Aircraft Size,0.07411815490969804
Airline Tier,0.027682911300604886
