aircraft_type,operator_airline,category,parking_stand,source
EMB 135,AFM,CHARTER,B7,DATASET AMC 2.csv
PH 300,PREMI,CHARTER,A1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B11,DATASET AMC 2.csv
G V,KARISMA,CHARTER,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B13,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B10,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B3,DATASET AMC 2.csv
ATR 42,IAT,CHARTER,B5,DATASET AMC 2.csv
GLEX,KARISMA,CHARTER,B4,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
PH 300,PURAWISATA,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B6,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,A2,DATASET AMC 2.csv
B 733,TRI MG,cargo,B11,DATASET AMC 2.csv
PH 300,PURAWISATA,CHARTER,A1,DATASET AMC 2.csv
B 738,POLICE,CHARTER,B5,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
ATR 72,TAS,CHARTER,B3,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
CT 700,KARISMA,CHARTER,B5,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B13,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B10,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
G 7500,PREMI,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B3,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B5,DATASET AMC 2.csv
AVANTI,SUSI AIR,Komersial,B1,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
AVANTI,SUSI AIR,Komersial,A1,DATASET AMC 2.csv
B 738,POLICE,CHARTER,B5,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
HK 850,KARISMA,CHARTER,B3,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
PH 300,PURAWISATA,CHARTER,B4,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC 2.csv
GLEX,AFM,CHARTER,B5,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B11,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B10,DATASET AMC 2.csv
BBJ 2,PTN,CHARTER,B6,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B13,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B1,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B3,DATASET AMC 2.csv
G 500,JIP,CHARTER,B4,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B10,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B11,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,B8,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B9,DATASET AMC 2.csv
EMB 135,PTN,CHARTER,B5,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
HK 850,KARISMA,CHARTER,B9,DATASET AMC 2.csv
KING AIR,KARISMA,CHARTER,B6,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B8,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B2,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B8,DATASET AMC 2.csv
CT 700,PTN,CHARTER,B5,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
B 733,TRI MG,cargo,B13,DATASET AMC 2.csv
HK 800,JETSET,CHARTER,B5,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
KING AIR,JIP,CHARTER,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
G IV,JIP,CHARTER,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B5,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B5,DATASET AMC 2.csv
BBJ,JIP,CHARTER,B4,DATASET AMC 2.csv
B 733,BLACKSTONE,CHARTER,B12,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B10,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,A2,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B6,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
L 1000,PREMI,CHARTER,B3,DATASET AMC 2.csv
BBJ,JIP,CHARTER,A1,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B12,DATASET AMC 2.csv
G V,KARSIMA,CHARTER,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,B5,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B13,DATASET AMC 2.csv
BELL 412,TRANSWISATA,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
KING AIR,JIP,CHARTER,B6,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B3,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC 2.csv
ATR 42,IAT,CHARTER,B7,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B8,DATASET AMC 2.csv
G V,PREMI,CHARTER,B5,DATASET AMC 2.csv
G 500,JIP,CHARTER,B4,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
L 1000,PREMI,CHARTER,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
PH 300,PURAWISATA,CHARTER,B3,DATASET AMC 2.csv
AVANTI,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B10,DATASET AMC 2.csv
HK 800,JETSET,CHARTER,B7,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,A3,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B4,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
G IV,JIP,CHARTER,B3,DATASET AMC 2.csv
G V,PREMI,CHARTER,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
L 1000,PREMI,CHARTER,A2,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B9,DATASET AMC 2.csv
C 212,TRANSWISATA,CHARTER,A3,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,B2,DATASET AMC 2.csv
KING AIR,JIP,CHARTER,B4,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B5,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B11,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B3,DATASET AMC 2.csv
PH 300,PREMI,CHARTER,A2,DATASET AMC 2.csv
G IV,PTN,CHARTER,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
G VI,BIOMANTARA,CHARTER,B7,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A3,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B5,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B2,DATASET AMC 2.csv
LJ 55,BGS,CHARTER,B7,DATASET AMC 2.csv
CT 700,PTN,CHARTER,B5,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
G 500,JIP,CHARTER,B5,DATASET AMC 2.csv
ATR 72,TAS,CHARTER,B3,DATASET AMC 2.csv
G 500,JIP,CHARTER,A0,DATASET AMC 2.csv
G V,TRAVIRA,CHARTER,B10,DATASET AMC 2.csv
G 7500,PREMI,CHARTER,B4,DATASET AMC 2.csv
L 1000,PREMI,CHARTER,A2,DATASET AMC 2.csv
L 1000,PREMI,CHARTER,B3,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B7,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,B11,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B2,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,A3,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B3,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B13,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A1,DATASET AMC 2.csv
B 738,POLICE,CHARTER,B5,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC 2.csv
G V,PREMI,CHARTER,B6,DATASET AMC 2.csv
PH 300,PREMI,CHARTER,A1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B11,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B10,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B9,DATASET AMC 2.csv
ATR 42,IAT,CHARTER,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
BBJ,JIP,CHARTER,A1,DATASET AMC 2.csv
EMB 135,PTN,CHARTER,B7,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
EMB 135,PREMI,CHARTER,B4,DATASET AMC 2.csv
B 733,TRI MG,cargo,B11,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A2,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B1,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,B5,DATASET AMC 2.csv
G 7500,PREMI,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
GLEX,PTN,CHARTER,B6,DATASET AMC 2.csv
G V,TRAVIRA,CHARTER,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC 2.csv
CT 700,PTN,CHARTER,B5,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
EMB 135,PREMI,CHARTER,A1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B5,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
ATR 72,TAS,CHARTER,A2,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B10,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B13,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B5,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B11,DATASET AMC 2.csv
LJ 55,BGS,CHARTER,B6,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
B 733,TRI MG,cargo,B10,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
G VI,AFM,CHARTER,B3,DATASET AMC 2.csv
GLEX,KARISMA,CHARTER,B5,DATASET AMC 2.csv
CT 680,JIP,CHARTER,B2,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B6,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B13,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,A3,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B13,DATASET AMC 2.csv
LJ 55,AMM,CHARTER,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B8,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
G V,AFM,CHARTER,B3,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B12,DATASET AMC 2.csv
BELL 412,TRANSWISATA,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A3,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B10,DATASET AMC 2.csv
B 738,POLICE,CHARTER,B4,DATASET AMC 2.csv
G IV,PTN,CHARTER,B5,DATASET AMC 2.csv
G VI,AFM,CHARTER,B3,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A3,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B13,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,B5,DATASET AMC 2.csv
G V,AFM,CHARTER,B4,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
CT 680,JIP,CHARTER,B6,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A2,DATASET AMC 2.csv
HK 850,KARISMA,CHARTER,B5,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC 2.csv
GLEX,PTN,CHARTER,B3,DATASET AMC 2.csv
G 500,JIP,CHARTER,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,A3,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,A2,DATASET AMC 2.csv
GLEX,PTN,CHARTER,A1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B12,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B13,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,A1,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
HK 850,KARISMA,CHARTER,B6,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
B 734,B. B. N.,CHARTER,B11,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
CT 680,JIP,CHARTER,B6,DATASET AMC 2.csv
B 733,TRI MG,cargo,B13,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B3,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
G IV,KARISMA,CHARTER,B6,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B5,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B2,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B10,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,B13,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B9,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B6,DATASET AMC 2.csv
RJ 85,SETNEG,CHARTER,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
A 320,CITILINK,Komersial,A3,DATASET AMC 2.csv
BBJ,JIP,CHARTER,B4,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B5,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,B5,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B2,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B4,DATASET AMC 2.csv
CL 850,JETSET,CHARTER,B3,DATASET AMC 2.csv
B 733,AIRNESIA,cargo,B13,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,A1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
B 738,POLICE,CHARTER,B5,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
BBJ,JIP,CHARTER,B3,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B7,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B6,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B4,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A2,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B2,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B13,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
EMB 135,IAT,CHARTER,B8,DATASET AMC 2.csv
HK 800,AFM,CHARTER,B7,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B2,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B8,DATASET AMC 2.csv
BBJ,JIP,CHARTER,B4,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B9,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B2,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
BBJ,JIP,CHARTER,A2,DATASET AMC 2.csv
ATR 72,PELITA,Komersial,A3,DATASET AMC 2.csv
RJ 85,SETNEG,CHARTER,B6,DATASET AMC 2.csv
GLEX,PREMI,CHARTER,B3,DATASET AMC 2.csv
G IV,JETSET,CHARTER,A2,DATASET AMC 2.csv
B 733,TRI MG,cargo,B10,DATASET AMC 2.csv
CT 700,KARISMA,CHARTER,B5,DATASET AMC 2.csv
G IV,JIP,CHARTER,B4,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
PH 300,PURAWISATA,CHARTER,B6,DATASET AMC 2.csv
ATR 42,IAT,CHARTER,B4,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B12,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B9,DATASET AMC 2.csv
G VI,PREMI,CHARTER,B3,DATASET AMC 2.csv
G V,AFM,CHARTER,B7,DATASET AMC 2.csv
ATR 72,CITILINK,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B1,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,B7,DATASET AMC 2.csv
ATR 72,FLY JAYA,Komersial,B2,DATASET AMC 2.csv
B 733,JAYAWIJAYA,cargo,B12,DATASET AMC 2.csv
BELL 407,AIR PASIFIC,CHARTER,B6,DATASET AMC 2.csv
G VI,KARISMA,CHARTER,B3,DATASET AMC 2.csv
B 738,GARUDA,Komersial,B1,DATASET AMC 2.csv
A 320,CITILINK,Komersial,B7,DATASET AMC 2.csv
B 733,TRIGANA,cargo,B13,DATASET AMC 2.csv
B 735,CITILINK,Komersial,B10,DATASET AMC 2.csv
A 320,BATIK AIR,Komersial,A3,DATASET AMC 2.csv
CT 680,JIP,CHARTER,B5,DATASET AMC 2.csv
EMB 135,KARISMA,CHARTER,B4,DATASET AMC 2.csv
C 208,SUSI AIR,Komersial,A2,DATASET AMC 2.csv
G IV,JETSET,CHARTER,B8,DATASET AMC 2.csv
